industry,real_time_requirement,data_volume,latency,security_concern,wireless_wired,energy_constraint,protocol
Manufacturing,Medium,High,Medium,Low,Wireless,High,OPC UA
Agriculture,High,High,Low,High,Wired,Low,OPC UA
Transportation,Low,Low,High,Medium,Wireless,High,LoRaWAN
Healthcare,Medium,Low,Medium,Low,Wireless,High,MQTT
Agriculture,High,High,Medium,Low,Wired,High,PROFINET
Healthcare,High,Low,Low,Medium,Wired,High,EtherCAT
Healthcare,High,High,Medium,Medium,Wired,Low,PROFINET
Agriculture,High,High,Medium,Low,Wireless,High,LoRaWAN
Agriculture,Low,High,High,Medium,Wired,High,PROFINET
Energy,High,Low,High,Medium,Wireless,High,OPC UA
Agriculture,Medium,High,Medium,Medium,Wired,Low,PROFINET
Retail,High,High,Medium,High,Wired,Low,PROFINET
Retail,Low,Low,Low,High,Wireless,High,LoRaWAN
Energy,Low,High,Medium,High,Wired,Medium,PROFINET
Retail,Low,Medium,High,Low,Wireless,Medium,HTTPS
Transportation,High,Low,Medium,Low,Wired,Medium,PROFINET
Retail,Medium,Low,High,Medium,Wireless,High,HTTPS
Retail,Low,Low,Medium,High,Wireless,Low,LoRaWAN
Transportation,Low,Medium,High,High,Wireless,Medium,MQTT
Transportation,Low,High,High,Low,Wireless,Medium,OPC UA
Healthcare,High,High,Low,High,Wired,High,OPC UA
Healthcare,High,Medium,High,Low,Wired,High,HTTPS
Transportation,High,High,Low,High,Wired,High,OPC UA
Energy,Low,Medium,High,High,Wireless,High,LoRaWAN
Manufacturing,Low,High,Medium,High,Wired,High,PROFINET
Energy,Low,High,High,Medium,Wireless,High,LoRaWAN
Agriculture,High,High,Medium,Low,Wireless,Medium,EtherCAT
Retail,Low,High,Medium,Medium,Wired,High,PROFINET
Transportation,Low,High,High,Medium,Wireless,Low,PROFINET
Retail,Low,High,Low,Low,Wired,Low,PROFINET
Transportation,Low,Medium,High,High,Wired,Medium,PROFINET
Energy,Medium,High,Medium,Medium,Wired,High,PROFINET
Healthcare,Medium,Low,Medium,Low,Wired,Low,MQTT
Transportation,High,Low,Low,Medium,Wireless,High,EtherCAT
Manufacturing,High,High,High,Medium,Wired,Medium,PROFINET
Agriculture,High,High,Low,Low,Wired,Low,EtherCAT
Energy,Medium,High,Medium,High,Wireless,Low,MQTT
Agriculture,Medium,High,Low,Low,Wireless,Low,MQTT
Manufacturing,Medium,High,High,Low,Wired,Low,PROFINET
Retail,Medium,Low,Medium,High,Wireless,Low,MQTT
Energy,High,Low,Low,Low,Wired,Low,EtherCAT
Agriculture,Medium,Medium,High,Medium,Wireless,Low,MQTT
Healthcare,High,Low,Low,Medium,Wired,Low,EtherCAT
Energy,Low,Medium,High,Medium,Wired,Medium,MQTT
Transportation,Medium,Low,Medium,Medium,Wired,Medium,EtherCAT
Healthcare,Medium,Low,Low,High,Wired,Low,MQTT
Retail,High,Low,Low,Low,Wired,Medium,EtherCAT
Retail,Medium,Low,Medium,Low,Wireless,High,LoRaWAN
Retail,Medium,High,Low,High,Wireless,High,HTTPS
Healthcare,High,Low,Medium,High,Wireless,Medium,MQTT
Healthcare,High,Low,Medium,Medium,Wired,Low,OPC UA
Manufacturing,Low,Low,High,Low,Wired,Medium,PROFINET
Healthcare,Low,Low,High,High,Wired,Low,MQTT
Healthcare,Medium,Low,High,High,Wireless,Low,MQTT
Manufacturing,Medium,High,High,Low,Wired,Low,PROFINET
Energy,Medium,Low,High,Medium,Wireless,Medium,LoRaWAN
Agriculture,Medium,Medium,Medium,Medium,Wireless,Low,MQTT
Healthcare,Medium,Low,High,Low,Wireless,Low,MQTT
Agriculture,Medium,Low,High,High,Wireless,High,HTTPS
Manufacturing,Medium,Medium,High,High,Wireless,Medium,HTTPS
Healthcare,High,High,Medium,High,Wireless,Medium,EtherCAT
Transportation,Low,Low,High,Medium,Wired,High,OPC UA
Manufacturing,Low,High,High,High,Wireless,Medium,EtherCAT
Healthcare,High,Medium,Low,High,Wired,Low,OPC UA
Healthcare,Medium,Medium,Medium,Low,Wireless,Medium,LoRaWAN
Energy,Low,Medium,Low,High,Wireless,Low,MQTT
Retail,High,Medium,Low,Medium,Wireless,Low,EtherCAT
Healthcare,Low,Medium,Medium,Medium,Wired,Low,LoRaWAN
Manufacturing,Low,Medium,High,Low,Wireless,Medium,MQTT
Healthcare,High,Medium,Medium,Low,Wired,High,LoRaWAN
Healthcare,High,Medium,Low,High,Wired,High,OPC UA
Healthcare,Medium,Low,High,Low,Wireless,Low,MQTT
Transportation,Medium,Medium,High,Medium,Wireless,Low,MQTT
Energy,Medium,Low,Medium,High,Wireless,Low,MQTT
Energy,High,High,Low,Low,Wireless,High,EtherCAT
Retail,Medium,Medium,Medium,High,Wireless,Medium,HTTPS
Retail,Low,High,High,High,Wireless,Low,HTTPS
Retail,Medium,Low,Low,Medium,Wireless,Medium,OPC UA
Agriculture,Medium,High,Low,High,Wired,Low,PROFINET
Healthcare,Low,Medium,High,Low,Wired,High,OPC UA
Energy,Medium,High,Low,Medium,Wired,Medium,PROFINET
Agriculture,Low,High,Medium,High,Wireless,Low,MQTT
Energy,Low,Low,Low,Medium,Wired,High,PROFINET
Energy,Low,Medium,High,High,Wireless,High,LoRaWAN
Transportation,Medium,High,Medium,High,Wireless,High,HTTPS
Healthcare,Low,High,Low,Medium,Wired,Medium,PROFINET
Agriculture,Low,Low,Medium,Medium,Wired,Medium,EtherCAT
Transportation,Low,Low,Medium,High,Wireless,High,LoRaWAN
Manufacturing,Medium,High,Medium,Low,Wireless,Low,MQTT
Energy,Low,Low,High,High,Wired,Medium,OPC UA
Energy,Low,High,High,Low,Wired,High,PROFINET
Healthcare,Medium,Medium,High,Medium,Wireless,Medium,MQTT
Retail,High,Low,Medium,Medium,Wired,High,OPC UA
Retail,High,High,Low,High,Wireless,High,OPC UA
Energy,Medium,Medium,High,Medium,Wireless,Medium,EtherCAT
Manufacturing,High,Medium,Low,High,Wired,High,OPC UA
Energy,High,Medium,Low,High,Wired,High,OPC UA
Healthcare,Medium,Medium,Medium,Low,Wired,Medium,EtherCAT
Manufacturing,High,Low,Medium,Low,Wired,Low,OPC UA
Agriculture,Medium,Medium,High,Medium,Wired,Low,MQTT
Manufacturing,Medium,Low,Low,Medium,Wireless,Low,MQTT
Transportation,Low,High,Low,High,Wired,Low,PROFINET
Retail,Low,Low,Low,Low,Wireless,High,LoRaWAN
Energy,Medium,Low,High,Low,Wired,High,LoRaWAN
Agriculture,Medium,Low,High,Medium,Wireless,Medium,EtherCAT
Energy,Medium,Medium,Low,Low,Wireless,Low,MQTT
Healthcare,Low,Medium,Low,High,Wired,Low,OPC UA
Agriculture,Low,Medium,Medium,Low,Wireless,High,LoRaWAN
Energy,Medium,Low,Medium,Medium,Wireless,High,LoRaWAN
Transportation,High,Medium,Medium,Medium,Wired,High,HTTPS
Retail,Medium,High,Medium,Low,Wired,Medium,PROFINET
Retail,Low,High,Low,Low,Wireless,Low,LoRaWAN
Retail,Low,Medium,Low,Low,Wireless,High,LoRaWAN
Transportation,High,High,High,Medium,Wireless,Low,HTTPS
Agriculture,High,High,Medium,Low,Wireless,High,HTTPS
Manufacturing,Medium,High,Low,High,Wired,High,PROFINET
Agriculture,Low,Medium,High,High,Wireless,Low,OPC UA
Agriculture,Low,High,High,Low,Wired,Low,PROFINET
Energy,Low,Low,High,High,Wired,Medium,EtherCAT
Healthcare,Low,Medium,Low,Medium,Wired,Medium,OPC UA
Retail,Medium,High,High,High,Wired,Medium,PROFINET
Healthcare,Medium,Medium,Medium,High,Wireless,High,HTTPS
Healthcare,Medium,High,Medium,High,Wired,High,PROFINET
Healthcare,High,Low,Medium,Medium,Wireless,Low,LoRaWAN
Energy,High,Low,Low,Medium,Wired,High,EtherCAT
Manufacturing,Medium,Low,High,Medium,Wired,Low,MQTT
Transportation,Low,Medium,Low,High,Wired,Low,HTTPS
Healthcare,Low,Medium,Medium,Medium,Wired,Low,PROFINET
Agriculture,Low,High,High,Medium,Wireless,Medium,MQTT
Healthcare,High,Medium,High,Low,Wired,High,LoRaWAN
Retail,High,Low,Medium,Medium,Wired,Low,LoRaWAN
Healthcare,Low,Low,Medium,High,Wired,High,PROFINET
Healthcare,Medium,Medium,Medium,Medium,Wired,High,OPC UA
Energy,Low,Low,Low,Medium,Wireless,Low,EtherCAT
Energy,Low,Medium,High,Low,Wired,Low,EtherCAT
Transportation,High,Medium,High,Low,Wireless,High,OPC UA
Agriculture,Low,Medium,High,High,Wireless,High,LoRaWAN
Healthcare,High,Low,Low,Medium,Wired,Low,EtherCAT
Manufacturing,Low,Medium,High,Low,Wired,Low,HTTPS
Healthcare,Medium,Low,Medium,Low,Wireless,Medium,LoRaWAN
Energy,High,Medium,High,Medium,Wired,Low,OPC UA
Agriculture,Medium,Low,Low,Low,Wired,High,OPC UA
Agriculture,Medium,Medium,Medium,Medium,Wired,Low,MQTT
Manufacturing,Low,High,High,Medium,Wired,Low,PROFINET
Energy,High,Low,Medium,High,Wireless,High,HTTPS
Transportation,High,High,High,Low,Wired,Low,PROFINET
Retail,Low,Low,High,High,Wired,High,LoRaWAN
Agriculture,Medium,High,Medium,Low,Wired,High,PROFINET
Energy,Low,Medium,Low,High,Wireless,Medium,LoRaWAN
Agriculture,Medium,Medium,High,Medium,Wireless,High,OPC UA
Manufacturing,Medium,High,Low,Medium,Wired,Medium,PROFINET
Manufacturing,Low,Low,Low,Low,Wireless,Medium,OPC UA
Energy,Medium,Medium,Low,Low,Wired,Medium,LoRaWAN
Manufacturing,High,Medium,Medium,High,Wired,High,HTTPS
Transportation,Medium,Low,Low,Medium,Wireless,High,EtherCAT
Transportation,Medium,High,Medium,High,Wired,High,PROFINET
Transportation,Low,High,Low,High,Wired,Medium,PROFINET
Energy,Medium,High,Medium,Low,Wireless,High,EtherCAT
Retail,Low,High,Low,Medium,Wireless,Low,LoRaWAN
Energy,High,High,Medium,High,Wireless,Medium,PROFINET
Manufacturing,Medium,High,Medium,High,Wireless,Low,MQTT
Agriculture,Medium,Low,Medium,Medium,Wireless,Low,MQTT
Transportation,Low,Low,Medium,Low,Wired,Medium,MQTT
Agriculture,Medium,Low,High,Low,Wireless,Low,MQTT
Retail,Low,Low,High,Medium,Wired,Low,EtherCAT
Healthcare,Low,High,Low,High,Wired,Medium,PROFINET
Agriculture,High,Medium,High,Low,Wired,Medium,LoRaWAN
Agriculture,High,High,Medium,High,Wireless,Low,PROFINET
Healthcare,Medium,High,High,Medium,Wireless,High,PROFINET
Energy,High,High,Medium,High,Wireless,Low,LoRaWAN
Transportation,Low,High,Low,Medium,Wireless,Low,MQTT
Retail,Medium,High,High,Medium,Wired,Medium,PROFINET
Manufacturing,High,High,Low,Low,Wired,Medium,EtherCAT
Energy,High,Medium,High,Low,Wireless,Low,LoRaWAN
Retail,Low,High,Low,Low,Wireless,Low,MQTT
Agriculture,High,Low,Medium,Medium,Wireless,High,MQTT
Healthcare,High,Medium,High,Low,Wired,Low,LoRaWAN
Energy,High,Low,High,Medium,Wireless,High,OPC UA
Agriculture,Low,Low,High,Medium,Wired,Low,HTTPS
Healthcare,Low,High,Low,Low,Wireless,High,LoRaWAN
Transportation,Low,Medium,Medium,High,Wireless,Medium,OPC UA
Energy,Low,Low,Low,Low,Wired,Low,HTTPS
Transportation,Low,High,Medium,High,Wireless,Low,PROFINET
Transportation,High,Low,Medium,High,Wired,Low,OPC UA
Retail,High,Medium,High,Medium,Wireless,High,OPC UA
Transportation,Low,Low,Medium,Medium,Wireless,Medium,LoRaWAN
Retail,Low,Medium,Medium,High,Wired,Medium,EtherCAT
Retail,Medium,High,High,High,Wired,Medium,PROFINET
Transportation,Low,Low,Low,Low,Wired,Low,PROFINET
Retail,Low,Medium,Medium,High,Wired,Medium,OPC UA
Transportation,High,Low,Medium,High,Wired,Low,LoRaWAN
Manufacturing,High,High,Medium,High,Wireless,High,LoRaWAN
Healthcare,Low,High,Medium,Medium,Wired,Low,PROFINET
Retail,High,Medium,High,Medium,Wireless,Low,MQTT
Manufacturing,Medium,Low,High,High,Wired,Medium,HTTPS
Manufacturing,Medium,Low,Medium,High,Wireless,Low,MQTT
Transportation,Low,High,Medium,Low,Wired,Medium,PROFINET
Healthcare,Medium,High,Medium,High,Wired,Low,PROFINET
Retail,Low,High,Low,High,Wireless,High,LoRaWAN
Retail,Medium,High,High,Low,Wired,High,PROFINET
Manufacturing,Medium,Medium,Low,Medium,Wireless,Low,MQTT
Agriculture,High,Low,High,High,Wired,Medium,PROFINET
Energy,High,High,High,Low,Wired,Low,PROFINET
Retail,Low,Medium,High,Low,Wireless,Low,HTTPS
Agriculture,Low,Medium,High,High,Wired,Medium,HTTPS
Manufacturing,Medium,High,High,Low,Wireless,Medium,OPC UA
Agriculture,High,Low,High,High,Wireless,High,HTTPS
Agriculture,Low,High,Medium,High,Wired,Medium,PROFINET
Manufacturing,Low,Low,High,Low,Wired,Low,EtherCAT
Manufacturing,High,Medium,High,Medium,Wired,Medium,EtherCAT
Manufacturing,Medium,Medium,High,High,Wireless,Medium,HTTPS
Transportation,High,Medium,Medium,High,Wired,High,EtherCAT
Manufacturing,High,High,High,Medium,Wired,Medium,PROFINET
Retail,Low,High,High,High,Wireless,High,LoRaWAN
Agriculture,High,Medium,Medium,High,Wired,Low,OPC UA
Manufacturing,Medium,Medium,High,Low,Wireless,Low,MQTT
Agriculture,High,Low,High,Low,Wireless,Low,EtherCAT
Manufacturing,Medium,High,Low,High,Wireless,Low,MQTT
Retail,Medium,Low,Medium,Medium,Wired,Medium,HTTPS
Healthcare,Medium,High,Low,Low,Wired,Medium,PROFINET
Energy,Medium,High,Medium,Medium,Wired,Low,PROFINET
Transportation,Medium,Low,Medium,High,Wired,Medium,HTTPS
Healthcare,High,Medium,Low,Low,Wired,Low,EtherCAT
Agriculture,Low,High,Medium,Low,Wireless,Medium,OPC UA
Healthcare,High,High,High,Low,Wired,Medium,PROFINET
Transportation,High,High,Medium,Medium,Wireless,Low,OPC UA
Manufacturing,High,Medium,Low,High,Wireless,High,OPC UA
Energy,Medium,Medium,High,High,Wireless,High,HTTPS
Energy,Medium,Low,High,Low,Wireless,High,LoRaWAN
Healthcare,High,Medium,Low,Medium,Wired,High,EtherCAT
Retail,High,Medium,Low,Medium,Wireless,Medium,EtherCAT
Healthcare,Medium,Low,Low,Low,Wireless,Medium,MQTT
Energy,Low,High,High,Low,Wired,Medium,PROFINET
Transportation,Low,Low,High,High,Wireless,Medium,LoRaWAN
Transportation,Low,High,Medium,High,Wired,Medium,PROFINET
Retail,Low,Medium,High,High,Wired,Low,OPC UA
Agriculture,Low,Low,Medium,Medium,Wireless,High,LoRaWAN
Healthcare,Low,Medium,Low,Medium,Wired,Low,LoRaWAN
Energy,Medium,High,High,High,Wireless,High,HTTPS
Manufacturing,Low,Low,Medium,Low,Wireless,Low,OPC UA
Agriculture,Medium,Medium,Low,High,Wireless,Medium,HTTPS
Manufacturing,Low,Medium,Medium,High,Wired,Medium,EtherCAT
Retail,High,Medium,High,Medium,Wireless,Medium,HTTPS
Healthcare,Low,High,Medium,Medium,Wired,Low,PROFINET
Healthcare,Low,Medium,Low,Medium,Wireless,Low,HTTPS
Retail,Medium,High,Medium,Medium,Wired,Medium,PROFINET
Healthcare,High,High,Medium,Low,Wireless,High,OPC UA
Transportation,Low,Medium,Low,Low,Wireless,Medium,MQTT
Agriculture,High,Low,Low,Medium,Wired,High,EtherCAT
Manufacturing,High,Medium,Medium,Medium,Wired,High,MQTT
Manufacturing,Medium,Medium,Medium,Low,Wired,Medium,LoRaWAN
Manufacturing,High,High,Medium,Low,Wireless,Medium,HTTPS
Healthcare,High,Medium,Medium,High,Wired,High,MQTT
Manufacturing,High,High,Medium,High,Wired,Low,PROFINET
Agriculture,High,Medium,Medium,Medium,Wireless,High,LoRaWAN
Agriculture,High,Medium,Low,Low,Wireless,High,EtherCAT
Energy,High,High,Medium,High,Wireless,High,MQTT
Transportation,Medium,High,Medium,Medium,Wireless,Medium,EtherCAT
Manufacturing,Low,High,Medium,Medium,Wired,Medium,PROFINET
Retail,High,Low,Low,Low,Wired,High,EtherCAT
Retail,Low,Low,High,Medium,Wired,High,MQTT
Manufacturing,High,High,Medium,Medium,Wireless,High,LoRaWAN
Manufacturing,High,Medium,Medium,Low,Wireless,High,MQTT
Manufacturing,Low,Medium,Medium,High,Wired,High,HTTPS
Retail,Medium,Medium,High,Low,Wireless,High,OPC UA
Transportation,Low,Low,Medium,High,Wired,Medium,MQTT
Agriculture,Medium,Low,High,Medium,Wired,Medium,EtherCAT
Manufacturing,Low,Medium,High,Medium,Wired,High,HTTPS
Healthcare,Low,Low,Low,Low,Wired,High,HTTPS
Energy,Medium,Low,High,Low,Wired,Medium,HTTPS
Energy,High,High,High,Low,Wireless,High,OPC UA
Manufacturing,High,Low,High,High,Wireless,Low,LoRaWAN
Transportation,Low,High,Low,Medium,Wireless,Medium,HTTPS
Agriculture,High,High,High,High,Wireless,Medium,MQTT
Manufacturing,Low,Medium,Low,Medium,Wired,High,OPC UA
Manufacturing,Medium,High,Low,Medium,Wired,Medium,PROFINET
Healthcare,Low,High,High,High,Wired,High,PROFINET
Energy,Medium,Low,High,High,Wired,High,HTTPS
Energy,High,High,Medium,Low,Wireless,Low,MQTT
Agriculture,High,High,High,Low,Wired,Medium,PROFINET
Transportation,Medium,High,High,Low,Wireless,Low,MQTT
Healthcare,Medium,High,Medium,High,Wireless,High,HTTPS
Agriculture,Low,Low,High,High,Wireless,High,LoRaWAN
Retail,Medium,Low,Low,Medium,Wireless,Medium,PROFINET
Manufacturing,Medium,High,High,Low,Wireless,Medium,PROFINET
